               ************************************
               *****    GLOBAL ATTRIBUTES    ******
               ************************************

     PROJECT                  STP>Solar Terrestrial Probes
     SOURCE_NAME              stb>Solar Terrestrial Relations Observatory Behind the Sun-Earth Line
     DISCIPLINE               Solar Physics>Heliospheric Physics
     DATA_TYPE                COHO1HR>1 Hour Time Resolution from cohoweb
     DESCRIPTOR               MAG_PLASMA>Merged Trajectory, Magnetic Field, and Plasma
     DATA_VERSION             1
     TEXT                     The Solar-Terrestrial Relations Observatory (STEREO) mission includes two spacecraft                   
     TEXT                      respectively lagging (STEREO A) and leading (STEREO B) the Earth in heliocentric                      
     TEXT                      orbit around the Sun for remote 3-D imaging and radio observations of coronal                         
     TEXT                      mass ejections (CMEs).  These events are responsible for large solar energetic                        
     TEXT                      particle events in interplanetary space and are the primary cause of major                            
     TEXT                      geomagnetic storms at Earth. The two spacecraft are launched to drift slowly                          
     TEXT                      away from the Earth in opposite directions at about 10 degrees per year for                           
     TEXT                      the lagging spacecraft and 20 degrees per year for the leading one. Optimal                           
     TEXT                      longitudinal separation of about sixty degrees is achieved after two years.                           
     TEXT                      Afterwards the separation gradually increases beyond the design lifetime of                           
     TEXT                      two years with the possibility of extended mission observations at larger angles.                     
     TEXT                      Science instruments selected for STEREO include the Sun Earth Connection Coronal                      
     TEXT                      and Heliospheric Investigation (SECCHI) for extreme ultraviolet (EUV), white-light                    
     TEXT                      coronographic, and heliospheric imaging, the STEREO/WAVES (SWAVES) interplanetary                     
     TEXT                      radio burst tracker, the In situ Measurements of Particles and CME Transients                         
     TEXT                      (IMPACT) investigation for in-situ sampling the 3-D distribution and plasma                           
     TEXT                      characteristics of solar energetic particles and the interplanetary magnetic                          
     TEXT                      field, and the PLAsma and SupraThermal Ion and Composition (PLASTIC) experiment                       
     TEXT                      to measure elemental and charge composition of ambient and CME plasma ions.                           
     TEXT                      STEREO data recorded and stored onboard each spacecraft will be downlinked                            
     TEXT                      through the NASA Deep Space Network on a daily schedule. Real-time space weather                      
     TEXT                      data will be continuously transmitted through a separate beacon system to NASA                        
                               and non-NASA receiving stations.                                                                      
                              About STEREO data in COHOWEB STEREO-A and -B data are from the magnetometer                            
                               of the IMPACT package and from the PLASTIC plasma detector.  Principal Investigators                  
                               for these packages are Janet Luhmann (UCB) and Antoinette Galvin (UNH), respectively.                 
                                Magnetic field  data were obtained as 10-min averages from the UCLA web site                         
                               at http://aten.igpp.ucla.edu/forms/stereo/ascii_PLASTIC_10m_new.html, courtesy                        
                               of C.T. Russell.  COHOWeb's magnetic field hourly averages were created at                            
                               GSFC/SPDF by averaging over the six 10-min averages falling within each hour.                         
                                Hourly plasma parameter data, including plasma flow direction angles for STEREO-A                    
                               but not yet for STEREO B (as of 7/11/2010), were obtained from UNH via http://fiji.sr.unh.edu/1dmax_as
     NSSDC_ID                 2006-047A
     LOGICAL_FILE_ID          stb_coho1hr_merged_mag_plasma_00000000_v01
     LOGICAL_SOURCE           stb_coho1hr_merged_mag_plasma
     LOGICAL_SOURCE_DESCR     Merged hourly magnetic field, plasma and ephermis data
     PI_NAME                  Natasha Papitashvili
     PI_AFFILIATION           NASA/GSFC
     MISSION_GROUP            STEREO
     INSTRUMENT_TYPE          Magnetic Fields (space)
                              Plasma and Solar Wind
                              Ephemeris
     TIME_RESOLUTION          1 hour
     LINK_TEXT                COHO dataset
                              Additional analysis tools for these data from the
     LINK_TITLE               Documentation
                              COHOWeb service
     HTTP_LINK                http://cohoweb.gsfc.nasa.gov/html/cw_data.html
                              http://cohoweb.gsfc.nasa.gov

               ************************************
               ****  RECORD VARYING VARIABLES  ****
               ************************************

 1. Time, beginning of interval
 2. Radial Distance
 3. HelioGraphic Inertial (HGI) latitude of the spacecraft position at the start of data interval
 4. HelioGraphic Inertial (HGI) longitude of the spacecraft position at the start of data interval
 5. IMF BR in RTN (Radial-Tangential-Normal) coordinate system
 6. IMF BT in RTN coordinate system
 7. IMF BN in RTN coordinate system
 8. B scalar
 9. SW plasma speed
10. SW lat angle in RTN coordinate system
11. SW lon angle in RTN coordinate system
12. SW plasma density
13. SW plasma Temperature

EPOCH                   RADIAL_DISTANCE       HGI_LAT      HGI_LONG      BR_(RTN)      BT_(RTN)      BN_(RTN)             B  PLASMA_SPEED  SW_LAT_(RTN)  SW_LON_(RTN) SW_PLASMA_DENS SW_PLASMA_TEMP
dd-mm-yyyy_hh:mm:ss.ms               AU           deg           deg            nT            nT            nT            nT          km/s           deg           deg          N/cm3          deg_K
01-11-2009 00:00:00.000         1.08000       7.20000       261.800      -2.12000       2.25000    -0.0600000       3.14000       330.000  -1.00000E+31  -1.00000E+31        4.34000        65000.0
01-11-2009 01:00:00.000         1.08000       7.20000       261.800      -1.76000       2.28000     -0.230000       2.98000       332.000  -1.00000E+31  -1.00000E+31        4.50000        61700.0
01-11-2009 02:00:00.000         1.08000       7.20000       261.900     -0.380000       2.77000      0.590000       3.01000       335.000  -1.00000E+31  -1.00000E+31        4.33000        53900.0
01-11-2009 03:00:00.000         1.08000       7.20000       261.900     -0.700000       2.29000      0.370000       2.80000       332.000  -1.00000E+31  -1.00000E+31        4.69000        49400.0
01-11-2009 04:00:00.000         1.08000       7.20000       261.900     -0.830000       2.52000     -0.130000       2.77000       333.000  -1.00000E+31  -1.00000E+31        4.59000        49100.0
01-11-2009 05:00:00.000         1.08000       7.20000       262.000     -0.650000       2.52000      0.140000       2.71000       334.000  -1.00000E+31  -1.00000E+31        4.77000        46500.0
01-11-2009 06:00:00.000         1.08000       7.20000       262.000      -1.26000       1.68000      0.480000       2.37000       328.000  -1.00000E+31  -1.00000E+31        5.14000        56400.0
01-11-2009 07:00:00.000         1.08000       7.20000       262.100      -1.60000       1.67000     -0.230000       2.42000       331.000  -1.00000E+31  -1.00000E+31        4.75000        48800.0
01-11-2009 08:00:00.000         1.08000       7.20000       262.100      -1.95000       1.23000     -0.640000       2.42000       327.000  -1.00000E+31  -1.00000E+31        4.68000        52900.0
01-11-2009 09:00:00.000         1.08000       7.20000       262.100      -1.96000       1.06000     -0.600000       2.37000       325.000  -1.00000E+31  -1.00000E+31        4.44000        50400.0
01-11-2009 10:00:00.000         1.08000       7.20000       262.200      -1.90000      0.150000      -1.23000       2.41000       323.000  -1.00000E+31  -1.00000E+31        3.89000        40600.0
01-11-2009 11:00:00.000         1.08000       7.20000       262.200      -2.17000      0.310000     -0.710000       2.34000       322.000  -1.00000E+31  -1.00000E+31        3.96000        45800.0
01-11-2009 12:00:00.000         1.08000       7.20000       262.300      -1.88000      0.130000      0.630000       2.27000       317.000  -1.00000E+31  -1.00000E+31        3.88000        38700.0
01-11-2009 13:00:00.000         1.08000       7.20000       262.300      -2.06000     -0.740000      0.870000       2.47000       316.000  -1.00000E+31  -1.00000E+31        4.24000        33300.0
01-11-2009 14:00:00.000         1.08000       7.20000       262.300      -2.32000      0.250000     -0.720000       2.57000       312.000  -1.00000E+31  -1.00000E+31        3.71000        38800.0
01-11-2009 15:00:00.000         1.08000       7.20000       262.400      -2.49000      0.340000     -0.540000       2.62000       308.000  -1.00000E+31  -1.00000E+31        3.74000        37900.0
01-11-2009 16:00:00.000         1.08000       7.20000       262.400      -2.42000      0.170000     -0.940000       2.64000       309.000  -1.00000E+31  -1.00000E+31        3.58000        35000.0
01-11-2009 17:00:00.000         1.08000       7.20000       262.400      -2.31000      0.240000      -1.00000       2.64000       308.000  -1.00000E+31  -1.00000E+31        3.71000        37300.0
01-11-2009 18:00:00.000         1.08000       7.20000       262.500      -2.10000      0.610000      -1.09000       2.50000       305.000  -1.00000E+31  -1.00000E+31        4.04000        42500.0
01-11-2009 19:00:00.000         1.08000       7.20000       262.500      -1.64000       1.55000     -0.920000       2.54000       301.000  -1.00000E+31  -1.00000E+31        4.29000        53700.0
01-11-2009 20:00:00.000         1.08000       7.20000       262.600      -1.97000       1.18000    -0.0100000       2.46000       303.000  -1.00000E+31  -1.00000E+31        4.92000        59700.0
01-11-2009 21:00:00.000         1.08000       7.20000       262.600      -2.29000      0.560000     -0.920000       2.57000       305.000  -1.00000E+31  -1.00000E+31        4.91000        58200.0
01-11-2009 22:00:00.000         1.08000       7.20000       262.600      -2.37000      0.270000     -0.880000       2.65000       298.000  -1.00000E+31  -1.00000E+31        4.99000        63700.0
01-11-2009 23:00:00.000         1.08000       7.20000       262.700      -2.27000      0.110000      -1.11000       2.65000       301.000  -1.00000E+31  -1.00000E+31        4.84000        55000.0
02-11-2009 00:00:00.000         1.08000       7.20000       262.700      -2.28000      0.350000      -1.46000       2.77000       298.000  -1.00000E+31  -1.00000E+31        4.63000        50000.0
02-11-2009 01:00:00.000         1.08000       7.20000       262.700      -2.16000     -0.480000     -0.990000       2.55000       292.000  -1.00000E+31  -1.00000E+31        4.90000        54500.0
02-11-2009 02:00:00.000         1.08000       7.20000       262.800      -2.20000     -0.410000     -0.940000       2.47000       289.000  -1.00000E+31  -1.00000E+31        4.99000        53200.0
02-11-2009 03:00:00.000         1.08000       7.20000       262.800      -2.27000     -0.230000     -0.580000       2.47000       289.000  -1.00000E+31  -1.00000E+31        5.31000        52600.0
02-11-2009 04:00:00.000         1.08000       7.20000       262.800      -1.96000      -1.30000     -0.100000       2.58000       298.000  -1.00000E+31  -1.00000E+31        4.94000        63200.0
02-11-2009 05:00:00.000         1.08000       7.20000       262.900      -1.92000       0.00000      -1.02000       2.86000       307.000  -1.00000E+31  -1.00000E+31        4.34000        66400.0
02-11-2009 06:00:00.000         1.08000       7.20000       262.900      -2.21000      0.570000     -0.990000       2.70000       305.000  -1.00000E+31  -1.00000E+31        4.97000        89500.0
02-11-2009 07:00:00.000         1.08000       7.20000       262.900      -1.74000      -1.52000     -0.570000       2.52000       308.000  -1.00000E+31  -1.00000E+31        4.52000        55400.0
02-11-2009 08:00:00.000         1.08000       7.20000       263.000      -1.27000      -2.25000     0.0200000       2.67000       304.000  -1.00000E+31  -1.00000E+31        4.77000        61900.0
02-11-2009 09:00:00.000         1.08000       7.20000       263.000      -1.44000      -1.83000      0.460000       2.71000       300.000  -1.00000E+31  -1.00000E+31        5.06000        68500.0
02-11-2009 10:00:00.000         1.08000       7.20000       263.000     0.0600000      -1.65000       1.66000       2.39000       303.000  -1.00000E+31  -1.00000E+31        4.87000        48200.0
02-11-2009 11:00:00.000         1.08000       7.20000       263.100     -0.820000      -1.22000      0.970000       2.20000       291.000  -1.00000E+31  -1.00000E+31        4.76000        47000.0
02-11-2009 12:00:00.000         1.08000       7.20000       263.100     -0.870000      0.330000       1.67000       2.35000       293.000  -1.00000E+31  -1.00000E+31        5.09000        53800.0
02-11-2009 13:00:00.000         1.08000       7.20000       263.100    -0.0800000     -0.520000       2.45000       2.63000       301.000  -1.00000E+31  -1.00000E+31        5.02000        59500.0
02-11-2009 14:00:00.000         1.08000       7.20000       263.200     -0.700000     -0.410000       1.33000       2.11000       290.000  -1.00000E+31  -1.00000E+31        4.76000        56600.0
02-11-2009 15:00:00.000         1.08000       7.20000       263.200      -1.84000     -0.890000       1.36000       2.61000       287.000  -1.00000E+31  -1.00000E+31        4.46000        47500.0
02-11-2009 16:00:00.000         1.08000       7.20000       263.200      -1.86000     -0.130000      -1.50000       2.66000       286.000  -1.00000E+31  -1.00000E+31        4.42000        46500.0
02-11-2009 17:00:00.000         1.08000       7.20000       263.300     -0.940000      0.220000      -1.67000       2.42000       285.000  -1.00000E+31  -1.00000E+31        4.32000        41800.0
02-11-2009 18:00:00.000         1.08000       7.20000       263.300      -2.38000     0.0600000      0.960000       2.63000       282.000  -1.00000E+31  -1.00000E+31        3.87000        28900.0
02-11-2009 19:00:00.000         1.08000       7.20000       263.300      -2.21000    -0.0300000      0.710000       2.51000       281.000  -1.00000E+31  -1.00000E+31        4.18000        30300.0
02-11-2009 20:00:00.000         1.08000       7.20000       263.400      -1.89000      0.900000     0.0600000       2.71000       290.000  -1.00000E+31  -1.00000E+31        5.39000        65900.0
02-11-2009 21:00:00.000         1.08000       7.20000       263.400      -2.04000      0.490000      -1.98000       3.07000       307.000  -1.00000E+31  -1.00000E+31        5.89000        64500.0
02-11-2009 22:00:00.000         1.08000       7.20000       263.400      0.250000       1.35000      0.850000       2.73000       316.000  -1.00000E+31  -1.00000E+31        6.83000        62700.0
02-11-2009 23:00:00.000         1.08000       7.20000       263.500       1.39000       1.20000      0.590000       2.90000       319.000  -1.00000E+31  -1.00000E+31        7.27000        46000.0
03-11-2009 00:00:00.000         1.08000       7.20000       263.500      0.690000       2.26000      0.300000       2.73000       312.000  -1.00000E+31  -1.00000E+31        7.38000        40900.0
03-11-2009 01:00:00.000         1.08000       7.20000       263.500      0.130000       3.74000       1.30000       4.43000       337.000  -1.00000E+31  -1.00000E+31        9.57000        80400.0
03-11-2009 02:00:00.000         1.08000       7.20000       263.600      -1.84000       4.66000      -1.25000       5.57000       341.000  -1.00000E+31  -1.00000E+31        9.56000        105000.
03-11-2009 03:00:00.000         1.08000       7.20000       263.600      -2.92000       4.70000     -0.280000       5.82000       338.000  -1.00000E+31  -1.00000E+31        8.92000        94200.0
03-11-2009 04:00:00.000         1.08000       7.20000       263.600      -3.05000       4.98000     -0.760000       6.13000       343.000  -1.00000E+31  -1.00000E+31        9.21000        107000.
03-11-2009 05:00:00.000         1.08000       7.20000       263.700      -3.10000       3.75000      -1.11000       5.09000       353.000  -1.00000E+31  -1.00000E+31        11.4000        69500.0
03-11-2009 06:00:00.000         1.08000       7.20000       263.700      -1.94000       3.05000    -0.0700000       4.34000       354.000  -1.00000E+31  -1.00000E+31        14.6000        64900.0
03-11-2009 07:00:00.000         1.08000       7.20000       263.800      0.540000       1.19000       1.17000       5.04000       354.000  -1.00000E+31  -1.00000E+31        13.8000        58400.0
03-11-2009 08:00:00.000         1.08000       7.20000       263.800       5.19000      -1.14000       5.31000       7.78000       338.000  -1.00000E+31  -1.00000E+31        10.2000        71100.0
03-11-2009 09:00:00.000         1.08000       7.20000       263.800     -0.460000       3.36000       4.92000       7.51000       344.000  -1.00000E+31  -1.00000E+31        7.53000        85100.0
03-11-2009 10:00:00.000         1.08000       7.20000       263.900      -1.00000       2.99000       6.38000       7.61000       373.000  -1.00000E+31  -1.00000E+31        3.10000        51400.0
03-11-2009 11:00:00.000         1.08000       7.20000       263.900      -1.46000       1.66000      -1.66000       5.05000       378.000  -1.00000E+31  -1.00000E+31        4.69000        69400.0
03-11-2009 12:00:00.000         1.08000       7.20000       263.900      -4.00000       2.96000      0.820000       6.12000       446.000  -1.00000E+31  -1.00000E+31        4.86000        116000.
03-11-2009 13:00:00.000         1.08000       7.20000       264.000      -3.70000       2.56000     -0.370000       5.84000       456.000  -1.00000E+31  -1.00000E+31        4.98000        138000.
03-11-2009 14:00:00.000         1.08000       7.20000       264.000      -3.33000       2.29000     -0.450000       4.25000       473.000  -1.00000E+31  -1.00000E+31        4.42000        252000.
03-11-2009 15:00:00.000         1.08000       7.20000       264.100      -3.18000      0.510000      -1.09000       3.76000       488.000  -1.00000E+31  -1.00000E+31        3.17000        175000.
03-11-2009 16:00:00.000         1.08000       7.20000       264.100      -2.66000      0.460000      -1.27000       3.76000       489.000  -1.00000E+31  -1.00000E+31        3.08000        175000.
03-11-2009 17:00:00.000         1.08000       7.20000       264.100     -0.880000       1.07000      -2.03000       3.96000       502.000  -1.00000E+31  -1.00000E+31        3.00000        161000.
03-11-2009 18:00:00.000         1.08000       7.20000       264.200      -2.54000      0.100000      -1.42000       3.42000       488.000  -1.00000E+31  -1.00000E+31        2.90000        225000.
03-11-2009 19:00:00.000         1.08000       7.20000       264.200      -1.16000       1.53000      -2.84000       3.98000       493.000  -1.00000E+31  -1.00000E+31        2.61000        172000.
03-11-2009 20:00:00.000         1.08000       7.20000       264.200      -1.26000       1.83000      -1.69000       3.68000       478.000  -1.00000E+31  -1.00000E+31        2.98000        154000.
03-11-2009 21:00:00.000         1.08000       7.20000       264.300      -2.18000       1.99000      -2.40000       3.87000       463.000  -1.00000E+31  -1.00000E+31        2.45000        120000.
03-11-2009 22:00:00.000         1.08000       7.20000       264.300      -3.01000       2.85000     -0.110000       4.52000       426.000  -1.00000E+31  -1.00000E+31        2.95000        114000.
03-11-2009 23:00:00.000         1.08000       7.20000       264.400      -4.38000       2.66000     -0.700000       5.25000       405.000  -1.00000E+31  -1.00000E+31        2.80000        72600.0
04-11-2009 00:00:00.000         1.08000       7.20000       264.400      -4.73000       1.85000     0.0700000       5.17000       397.000  -1.00000E+31  -1.00000E+31        2.54000        60400.0
04-11-2009 01:00:00.000         1.08000       7.20000       264.400      -4.94000       1.50000     -0.940000       5.43000       393.000  -1.00000E+31  -1.00000E+31        2.53000        70100.0
04-11-2009 02:00:00.000         1.08000       7.20000       264.500      -2.76000       2.95000      -2.02000       5.07000       404.000  -1.00000E+31  -1.00000E+31        3.23000        137000.
04-11-2009 03:00:00.000         1.08000       7.20000       264.500     -0.220000       3.27000      -4.10000       5.75000       420.000  -1.00000E+31  -1.00000E+31        2.60000        152000.
04-11-2009 04:00:00.000         1.08000       7.20000       264.500      0.390000       3.47000      -2.50000       5.92000       419.000  -1.00000E+31  -1.00000E+31        2.17000        155000.
04-11-2009 05:00:00.000         1.08000       7.20000       264.600      -2.53000       1.86000       2.47000       5.12000       435.000  -1.00000E+31  -1.00000E+31        1.49000        146000.
04-11-2009 06:00:00.000         1.08000       7.20000       264.600      -2.68000       3.23000       2.18000       4.87000       428.000  -1.00000E+31  -1.00000E+31       0.890000        165000.
04-11-2009 07:00:00.000         1.08000       7.20000       264.700      -2.57000       2.45000       1.36000       4.08000       432.000  -1.00000E+31  -1.00000E+31        1.02000        114000.
04-11-2009 08:00:00.000         1.08000       7.20000       264.700      -2.40000       2.88000       1.66000       4.14000       429.000  -1.00000E+31  -1.00000E+31       0.910000        70500.0
04-11-2009 09:00:00.000         1.08000       7.20000       264.700      -1.29000       3.85000       1.35000       4.34000       424.000  -1.00000E+31  -1.00000E+31       0.700000        79600.0
04-11-2009 10:00:00.000         1.08000       7.20000       264.800      -1.67000       2.98000      0.470000       3.48000       411.000  -1.00000E+31  -1.00000E+31       0.760000        110000.
04-11-2009 11:00:00.000         1.08000       7.20000       264.800      -1.73000       2.60000      0.560000       3.22000       409.000  -1.00000E+31  -1.00000E+31       0.790000        172000.
04-11-2009 12:00:00.000         1.08000       7.20000       264.800      -2.25000       1.95000      0.880000       3.44000       411.000  -1.00000E+31  -1.00000E+31        1.05000        107000.
04-11-2009 13:00:00.000         1.08000       7.20000       264.900      -2.74000       1.55000       1.23000       3.39000       408.000  -1.00000E+31  -1.00000E+31       0.940000        80800.0
04-11-2009 14:00:00.000         1.08000       7.20000       264.900      -2.91000       1.07000      0.710000       3.38000       407.000  -1.00000E+31  -1.00000E+31        1.33000        85700.0
04-11-2009 15:00:00.000         1.08000       7.20000       265.000      -3.34000      0.800000    -0.0900000       3.62000       405.000  -1.00000E+31  -1.00000E+31        1.20000        62900.0
04-11-2009 16:00:00.000         1.08000       7.20000       265.000     -0.380000       2.15000       2.14000       3.64000       421.000  -1.00000E+31  -1.00000E+31       0.910000        81200.0
04-11-2009 17:00:00.000         1.08000       7.20000       265.000      0.500000       3.83000     0.0300000       3.99000       419.000  -1.00000E+31  -1.00000E+31       0.690000        100000.
04-11-2009 18:00:00.000         1.08000       7.20000       265.100       1.44000       3.22000     -0.560000       3.68000       418.000  -1.00000E+31  -1.00000E+31       0.690000        101000.
04-11-2009 19:00:00.000         1.08000       7.20000       265.100       1.57000       2.66000     0.0400000       3.46000       417.000  -1.00000E+31  -1.00000E+31       0.950000        118000.
04-11-2009 20:00:00.000         1.08000       7.20000       265.100      -2.76000      -1.86000       1.19000       3.69000       423.000  -1.00000E+31  -1.00000E+31        1.70000        71400.0
04-11-2009 21:00:00.000         1.08000       7.20000       265.200      -4.00000     -0.570000       1.66000       4.43000       420.000  -1.00000E+31  -1.00000E+31        1.61000        65700.0
04-11-2009 22:00:00.000         1.08000       7.20000       265.200      -4.26000       1.53000       1.93000       5.00000       417.000  -1.00000E+31  -1.00000E+31        1.63000        84100.0
04-11-2009 23:00:00.000         1.08000       7.20000       265.300      -4.19000       3.17000       1.16000       5.44000       414.000  -1.00000E+31  -1.00000E+31        2.02000        129000.
05-11-2009 00:00:00.000         1.08000       7.20000       265.300      -2.95000       4.31000     -0.230000       5.33000       416.000  -1.00000E+31  -1.00000E+31        1.69000        115000.
05-11-2009 01:00:00.000         1.08000       7.20000       265.300      0.970000       3.38000      -1.47000       4.17000       423.000  -1.00000E+31  -1.00000E+31        1.90000        88900.0
05-11-2009 02:00:00.000         1.08000       7.20000       265.400     -0.190000       3.15000      0.150000       3.56000       416.000  -1.00000E+31  -1.00000E+31        2.38000        95300.0
05-11-2009 03:00:00.000         1.08000       7.20000       265.400     -0.990000       2.63000      0.750000       3.08000       411.000  -1.00000E+31  -1.00000E+31        2.99000        105000.
05-11-2009 04:00:00.000         1.08000       7.20000       265.400       2.43000       2.92000      -1.06000       4.11000       419.000  -1.00000E+31  -1.00000E+31        1.00000        105000.
05-11-2009 05:00:00.000         1.08000       7.20000       265.500       2.26000       2.70000      -1.48000       3.98000       410.000  -1.00000E+31  -1.00000E+31        1.66000        101000.
05-11-2009 06:00:00.000         1.08000       7.20000       265.500      0.190000       1.89000       1.01000       3.23000       406.000  -1.00000E+31  -1.00000E+31        1.74000        95800.0
05-11-2009 07:00:00.000         1.08000       7.20000       265.600      0.250000       2.04000      0.830000       3.36000       413.000  -1.00000E+31  -1.00000E+31        1.79000        91500.0
05-11-2009 08:00:00.000         1.08000       7.20000       265.600      -1.01000       2.38000      0.490000       3.36000       412.000  -1.00000E+31  -1.00000E+31        1.93000        90400.0
05-11-2009 09:00:00.000         1.08000       7.20000       265.600      0.420000       1.52000      -1.47000       2.55000       408.000  -1.00000E+31  -1.00000E+31        2.49000        83700.0
05-11-2009 10:00:00.000         1.08000       7.20000       265.700      0.230000      0.660000      -1.52000       2.60000       406.000  -1.00000E+31  -1.00000E+31        1.94000        88000.0
05-11-2009 11:00:00.000         1.08000       7.20000       265.700    -0.0100000       2.54000     -0.100000       2.94000       410.000  -1.00000E+31  -1.00000E+31        2.13000        80800.0
05-11-2009 12:00:00.000         1.08000       7.30000       265.800     -0.510000       2.53000      0.840000       2.96000       405.000  -1.00000E+31  -1.00000E+31        1.60000        69300.0
05-11-2009 13:00:00.000         1.08000       7.30000       265.800     0.0200000       2.58000      0.280000       2.75000       406.000  -1.00000E+31  -1.00000E+31        1.35000        75200.0
05-11-2009 14:00:00.000         1.08000       7.30000       265.800      -1.54000       2.51000     0.0800000       3.01000       396.000  -1.00000E+31  -1.00000E+31        1.16000        83100.0
05-11-2009 15:00:00.000         1.08000       7.30000       265.900      -2.51000      0.980000      0.430000       2.87000       391.000  -1.00000E+31  -1.00000E+31        1.53000        61400.0
05-11-2009 16:00:00.000         1.08000       7.30000       265.900      -1.40000       1.76000      -1.06000       2.65000       398.000  -1.00000E+31  -1.00000E+31        1.34000        73700.0
05-11-2009 17:00:00.000         1.08000       7.30000       265.900       1.12000       1.82000      0.110000       2.67000       406.000  -1.00000E+31  -1.00000E+31        2.23000        67500.0
05-11-2009 18:00:00.000         1.08000       7.30000       266.000       1.53000      0.780000      0.730000       2.61000       400.000  -1.00000E+31  -1.00000E+31        2.22000        61600.0
05-11-2009 19:00:00.000         1.08000       7.30000       266.000     -0.560000       1.81000     -0.250000       2.49000       385.000  -1.00000E+31  -1.00000E+31        1.40000        59300.0
05-11-2009 20:00:00.000         1.08000       7.30000       266.100      0.150000       2.67000     -0.320000       2.87000       372.000  -1.00000E+31  -1.00000E+31        1.09000        47700.0
05-11-2009 21:00:00.000         1.08000       7.30000       266.100     -0.440000       3.01000     -0.730000       3.18000       372.000  -1.00000E+31  -1.00000E+31       0.920000        43400.0
05-11-2009 22:00:00.000         1.08000       7.30000       266.100     -0.480000       2.90000      -1.49000       3.37000       372.000  -1.00000E+31  -1.00000E+31       0.930000        42000.0
05-11-2009 23:00:00.000         1.08000       7.30000       266.200      0.170000       3.21000     -0.930000       3.49000       370.000  -1.00000E+31  -1.00000E+31       0.720000        39400.0
06-11-2009 00:00:00.000         1.08000       7.30000       266.200       1.74000       1.90000      0.130000       3.01000       381.000  -1.00000E+31  -1.00000E+31        1.09000        35200.0
06-11-2009 01:00:00.000         1.08000       7.30000       266.200      0.860000       2.15000      -1.06000       2.97000       375.000  -1.00000E+31  -1.00000E+31       0.860000        31900.0
06-11-2009 02:00:00.000         1.08000       7.30000       266.300       1.64000       1.69000      -1.28000       2.86000       380.000  -1.00000E+31  -1.00000E+31        1.05000        33200.0
06-11-2009 03:00:00.000         1.08000       7.30000       266.300       1.53000       2.90000      -1.05000       3.48000       369.000  -1.00000E+31  -1.00000E+31       0.620000        23600.0
06-11-2009 04:00:00.000         1.08000       7.30000       266.300      0.170000       2.95000      -1.11000       3.34000       360.000  -1.00000E+31  -1.00000E+31       0.760000        41500.0
06-11-2009 05:00:00.000         1.08000       7.30000       266.400      0.390000       2.85000      -1.30000       3.33000       364.000  -1.00000E+31  -1.00000E+31       0.730000        33500.0
06-11-2009 06:00:00.000         1.08000       7.30000       266.400      0.820000       3.19000     -0.840000       3.45000       364.000  -1.00000E+31  -1.00000E+31       0.610000        24700.0
06-11-2009 07:00:00.000         1.08000       7.30000       266.400       1.17000       2.99000     -0.630000       3.29000       365.000  -1.00000E+31  -1.00000E+31       0.660000        25300.0
06-11-2009 08:00:00.000         1.08000       7.30000       266.500      0.230000       3.33000      -1.06000       3.58000       359.000  -1.00000E+31  -1.00000E+31       0.690000        37300.0
06-11-2009 09:00:00.000         1.08000       7.30000       266.500      -1.82000       2.02000      -1.65000       3.48000       344.000  -1.00000E+31  -1.00000E+31        1.34000        66300.0
06-11-2009 10:00:00.000         1.08000       7.30000       266.500      -2.75000       1.14000      -1.29000       3.35000       339.000  -1.00000E+31  -1.00000E+31        1.76000        56900.0
06-11-2009 11:00:00.000         1.08000       7.30000       266.600      -2.17000       2.38000     -0.860000       3.40000       339.000  -1.00000E+31  -1.00000E+31        1.54000        76900.0
06-11-2009 12:00:00.000         1.08000       7.30000       266.600      -2.28000       2.02000      -1.87000       3.60000       350.000  -1.00000E+31  -1.00000E+31        1.35000        59000.0
06-11-2009 13:00:00.000         1.08000       7.30000       266.600      -2.94000       1.28000      -1.89000       3.76000       367.000  -1.00000E+31  -1.00000E+31        2.05000        30400.0
06-11-2009 14:00:00.000         1.08000       7.30000       266.700      -3.05000      0.120000      -2.01000       3.69000       373.000  -1.00000E+31  -1.00000E+31        2.37000        29300.0
06-11-2009 15:00:00.000         1.08000       7.30000       266.700      -2.53000       1.11000      -1.53000       3.37000       374.000  -1.00000E+31  -1.00000E+31        2.85000        35300.0
06-11-2009 16:00:00.000         1.08000       7.30000       266.700      -1.50000       1.60000     -0.700000       2.53000       385.000  -1.00000E+31  -1.00000E+31        3.72000        57600.0
06-11-2009 17:00:00.000         1.08000       7.30000       266.800      -1.90000       1.29000    -0.0300000       2.35000       387.000  -1.00000E+31  -1.00000E+31        4.28000        70500.0
06-11-2009 18:00:00.000         1.08000       7.30000       266.800     -0.870000      0.840000      0.260000       1.68000       385.000  -1.00000E+31  -1.00000E+31        4.11000        56200.0
06-11-2009 19:00:00.000         1.08000       7.30000       266.800       1.10000      0.540000       1.54000       2.22000       380.000  -1.00000E+31  -1.00000E+31        3.77000        38100.0
06-11-2009 20:00:00.000         1.08000       7.30000       266.900       1.51000       2.02000      0.350000       2.62000       379.000  -1.00000E+31  -1.00000E+31        3.13000        38100.0
06-11-2009 21:00:00.000         1.08000       7.30000       266.900      0.840000       1.85000    -0.0300000       2.18000       375.000  -1.00000E+31  -1.00000E+31        2.82000        32900.0
