#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                  SPDF
#     DISCIPLINE               Space Physics>Interplanetary Studies
#     SOURCE_NAME              OMNI (1AU IP Data)>Merged 1 Hour Interplantary OMNI data in RTN system
#     DATA_TYPE                COHO1HR>Definitive Hourly data from cohoweb
#     DESCRIPTOR               merged magnetic field and plasma data from cohoweb
#     DATA_VERSION             1
#     TITLE                    Near-Earth Heliosphere Data (OMNI)
#     TEXT                     Hourly averaged definitive multispacecraft interplanetary parameters data
#                              The Heliographic Inertial (HGI) coordinates are Sun-centered and inertially                            
#                               fixed with respect to an X-axis directed along the intersection line of the                           
#                               ecliptic and solar equatorial  planes. The solar equator plane is inclined                            
#                               at 7.25 degrees from the ecliptic. This direction was towards ecliptic longitude                      
#                               of 74.367 degrees on 1 January 1900 at 1200 UT; because of precession of the                          
#                               celestial equator, this longitude increases by 1.4 degrees/century. The Z axis                        
#                                is  directed perpendicular and northward from the solar equator, and the Y-axis                      
#                               completes the right-handed set. This system differs from the usual heliographic                       
#                               coordinates (e.g. Carrington longitudes) which are fixed in the frame of the                          
#                               rotating Sun.                                                                                         
#                              The RTN system is fixed at a spacecraft (or the planet). The R axis is directed                        
#                               radially away from the Sun, the T axis is the cross product of the solar rotation                     
#                               axis and the R axis, and the N axis is the cross product of the R and T axes.                         
#                                At zero heliographic latitude, when the spacecraft is in the solar equatorial                        
#                               plane, the N and solar rotation axes are parallel.                                                    
#                              Latitude and longitude angles of solar wind plasma flow are generally measured                         
#                                from the radius vector away from the Sun. In all cases, latitude angles are                          
#                               positive for north-going flow.  The flow longitude angles have been treated                           
#                               differently for the near-Earth data, i.e. the OMNI, and for the deep space                            
#                               data. The flow is positive for the  near-Earth data when coming from the right                        
#                               side of the Sun as viewed  from  the Earth, i.e. flowing toward +Y from -X                            
#                               GSE or opposite to the direction of planetary motion. On the other hand, the                          
#                               flow longitudes for the deep space spacecraft use the opposite sign convection,                       
#                               i.e. positive for flow in the +T direction in the RTN system.                                         
#     MODS                     created July 2007;
#                              conversion to ISTP/IACG CDFs via SKTEditor Feb 2000
#                              Time tags in CDAWeb version were modified in March 2005 to use the
#                              CDAWeb convention of having mid-average time tags rather than OMNI's
#                              original convention of start-of-average time tags.
#     PI_NAME                  J.H. King, N. Papatashvilli
#     PI_AFFILIATION           AdnetSystems, NASA GSFC
#     GENERATION_DATE          Ongoing
#     ACKNOWLEDGEMENT          NSSDC
#     ADID_REF                 NSSD0110
#     RULES_OF_USE             Public
#     INSTRUMENT_TYPE          Plasma and Solar Wind
#                              Magnetic Fields (space)
#     GENERATED_BY             King/Papatashvilli
#     TIME_RESOLUTION          1 hour
#     LOGICAL_FILE_ID          omni_coho1hr_merged_mag_plasma_00000000_v01
#     LOGICAL_SOURCE           omni_coho1hr_merged_mag_plasma
#     LOGICAL_SOURCE_DESCR     OMNI Combined merged hourly magnetic field, plasma and ephermis data
#     LINK_TEXT                COHO dataset
#                              Additional analysis tools for these data from the
#     LINK_TITLE               Documentation
#                              COHOWeb service
#     HTTP_LINK                http://cohoweb.gsfc.nasa.gov/html/cw_data.html
#                              http://cohoweb.gsfc.nasa.gov
#     ALT_LOGICAL_SOURCE       Combined_OMNI_1AU-MagneticField-Plasma-Particles_mrg1hr_1hour_cdf
#     MISSION_GROUP            OMNI (Combined 1AU IP Data; Magnetic and Solar Indices)
#                              ACE
#                              Wind
#                              IMP (All)
#                              !___Interplanetary Data near 1 AU
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Epoch Time
#  2. HelioGraphic Inertial (HGI) latitude
#  3. HGI longitude
#  4. BR in RTN (Radial-Tangential-Normal) coordinate system
#  5. BT in RTN coordinate system
#  6. BN in RTN coordinate system
#  7. Field Magnitude Average |B  1/N SUM |B|
#  8. Bulk Flow Speed
#  9. Proton flow elevation angle / latitude (RTN)
# 10. Proton flow azimuth angle / longitude (RTN)
# 11. Ion Density
# 12. Temperature
#
EPOCH_TIME              HELIOGRAPHIC_LATITUDE HELIOGRAPHIC_LONGITUDE      BR_(RTN)      BT_(RTN)      BN_(RTN) FIELD_MAGNITUDE_AVG. BULK_FLOW_SPEED ELEVATION_ANGLE AZIMUTH_ANGLE   ION_DENSITY   TEMPERATURE
dd-mm-yyyy hh:mm:ss.ms                    deg                    deg            nT            nT            nT                   nT            km/s             Deg           Deg         N/cm3         Deg_K
01-11-2009 00:00:00.000               4.50000                322.000      -1.20000      -4.90000       1.50000              5.40000         333.000         2.40000       3.50000       4.80000       19698.0
01-11-2009 01:00:00.000               4.50000                322.100      -1.60000      -4.60000       1.30000              5.10000         335.000         1.60000       4.00000       5.60000       21630.0
01-11-2009 02:00:00.000               4.50000                322.100     -0.800000      -4.10000       2.70000              5.00000         332.000        0.200000       4.80000       5.60000       21859.0
01-11-2009 03:00:00.000               4.50000                322.100     -0.300000      -3.10000       1.80000              4.30000         332.000        0.800000       3.60000       9.50000       22113.0
01-11-2009 04:00:00.000               4.50000                322.200      -1.20000      0.900000       2.10000              3.00000         338.000        0.900000      0.100000       16.8000       24277.0
01-11-2009 05:00:00.000               4.50000                322.200      -1.80000      -2.60000       2.40000              4.90000         343.000        0.600000       1.70000       10.3000       23946.0
01-11-2009 06:00:00.000               4.50000                322.300     -0.700000       1.40000       2.40000              3.30000         342.000       -0.300000      -1.20000       15.6000       25676.0
01-11-2009 07:00:00.000               4.40000                322.300      0.800000       2.50000      0.300000              3.10000         339.000        0.500000      -1.90000       15.5000       24341.0
01-11-2009 08:00:00.000               4.40000                322.300      0.200000      0.800000      0.300000              2.00000         339.000        0.900000     -0.200000       17.1000       24207.0
01-11-2009 09:00:00.000               4.40000                322.400     -0.600000      0.700000      0.400000              1.70000         337.000        0.700000      -0.00000       17.5000       23360.0
01-11-2009 10:00:00.000               4.40000                322.400      -2.60000      0.100000       1.70000              3.30000         341.000        0.400000      -1.50000       14.9000       15759.0
01-11-2009 11:00:00.000               4.40000                322.500      -3.00000       1.10000       2.20000              4.20000         349.000        0.100000       0.00000       11.5000       18563.0
01-11-2009 12:00:00.000               4.40000                322.500      -2.40000       3.20000       2.10000              4.60000         363.000       -0.500000       1.00000       10.1000       18940.0
01-11-2009 13:00:00.000               4.40000                322.600      -1.60000       4.30000       1.90000              5.10000         365.000        0.100000       1.10000       6.70000       14511.0
01-11-2009 14:00:00.000               4.40000                322.600      -1.50000       4.20000       1.80000              4.90000         363.000        0.400000      0.100000       6.50000       14672.0
01-11-2009 15:00:00.000               4.40000                322.600     -0.900000       4.20000       1.80000              4.90000         365.000        0.300000      0.500000       6.00000       12818.0
01-11-2009 16:00:00.000               4.40000                322.700      -1.30000       4.20000       2.80000              5.30000         361.000        0.800000      0.200000       4.20000       8749.00
01-11-2009 17:00:00.000               4.40000                322.700      -1.60000       4.50000       1.80000              5.10000         360.000        0.100000      0.600000       5.40000       9340.00
01-11-2009 18:00:00.000               4.40000                322.800     -0.800000       4.70000      0.800000              4.90000         359.000       -0.800000       1.00000       6.90000       11803.0
01-11-2009 19:00:00.000               4.40000                322.800     -0.700000       5.30000      0.300000              5.30000         356.000       -0.700000      0.900000       6.10000       9246.00
01-11-2009 20:00:00.000               4.40000                322.800      -2.10000       4.40000       1.20000              5.50000         347.000       -0.300000     -0.400000       6.10000       10279.0
01-11-2009 21:00:00.000               4.40000                322.900      -2.10000       4.30000       1.40000              5.50000         342.000       -0.400000     -0.700000       5.60000       9189.00
01-11-2009 22:00:00.000               4.40000                322.900     -0.200000       5.00000       1.60000              5.50000         348.000       -0.900000       1.00000       5.60000       9585.00
01-11-2009 23:00:00.000               4.40000                323.000     -0.300000       4.80000       2.90000              5.80000         346.000        0.300000      0.800000       5.60000       8411.00
02-11-2009 00:00:00.000               4.40000                323.000     -0.200000       4.50000       3.10000              5.60000         344.000        -1.50000      0.900000       6.60000       9540.00
02-11-2009 01:00:00.000               4.40000                323.100     -0.200000       4.40000       3.40000              5.60000         341.000        -2.00000      0.500000       7.50000       8966.00
02-11-2009 02:00:00.000               4.40000                323.100      0.100000       5.70000       1.50000              6.00000         339.000        -1.50000       1.50000       7.30000       10299.0
02-11-2009 03:00:00.000               4.40000                323.100     -0.500000       5.90000       1.70000              6.40000         336.000        -1.10000       1.40000       8.10000       9852.00
02-11-2009 04:00:00.000               4.40000                323.200      -1.90000       6.20000       3.10000              7.20000         337.000        -2.40000       4.10000       6.00000       10277.0
02-11-2009 05:00:00.000               4.40000                323.200      -1.50000       6.90000       2.40000              7.50000         337.000        -3.00000       2.60000       7.80000       13437.0
02-11-2009 06:00:00.000               4.40000                323.300     -0.700000       7.40000     -0.500000              7.60000         337.000        -4.60000       3.30000       9.60000       13410.0
02-11-2009 07:00:00.000               4.30000                323.300     -0.400000       7.10000      -2.30000              7.90000         335.000        -3.10000       1.30000       10.0000       13717.0
